date,auction_name,eua_price_eur_t
2015-02-19 00:00:00,EU,7.37
2015-02-20 00:00:00,DE,7.26
2015-02-23 00:00:00,EU,7.2
2015-02-24 00:00:00,EU,7.66
2015-02-25 00:00:00,DE,7.35
2015-02-26 00:00:00,EU,7.29
2015-02-27 00:00:00,DE,6.93
2015-03-02 00:00:00,EU,6.9
2015-03-03 00:00:00,EU,6.82
2015-03-05 00:00:00,EU,6.96
2015-03-06 00:00:00,DE,6.7
2015-03-09 00:00:00,EU,6.66
2015-03-10 00:00:00,EU,6.67
2015-03-11 00:00:00,EU,6.48
2015-03-12 00:00:00,EU,6.61
2015-03-13 00:00:00,DE,6.26
2015-03-16 00:00:00,EU,6.36
2015-03-17 00:00:00,EU,6.45
2015-03-19 00:00:00,EU,6.7
2015-03-20 00:00:00,DE,6.7
2015-03-23 00:00:00,EU,6.94
2015-03-24 00:00:00,EU,7.02
2015-03-25 00:00:00,PL,6.88
2015-03-25 00:00:00,PL,6.77
2015-03-26 00:00:00,EU,7.0
2015-03-27 00:00:00,DE,6.9
2015-03-30 00:00:00,EU,6.81
2015-03-31 00:00:00,EU,6.79
2015-04-02 00:00:00,EU,7.14
2015-04-07 00:00:00,EU,7.08
2015-04-09 00:00:00,EU,7.12
2015-04-10 00:00:00,DE,6.96
2015-04-13 00:00:00,EU,6.82
2015-04-14 00:00:00,EU,6.77
2015-04-16 00:00:00,EU,6.82
2015-04-17 00:00:00,DE,6.83
2015-04-20 00:00:00,EU,6.88
2015-04-21 00:00:00,EU,7.07
2015-04-22 00:00:00,EU,6.75
2015-04-23 00:00:00,EU,7.06
2015-04-24 00:00:00,DE,7.27
2015-04-27 00:00:00,EU,7.33
2015-04-28 00:00:00,EU,7.16
2015-04-30 00:00:00,EU,7.52
2015-05-05 00:00:00,EU,7.5
2015-05-06 00:00:00,EU,7.25
2015-05-07 00:00:00,EU,7.5
2015-05-08 00:00:00,DE,7.43
2015-05-11 00:00:00,EU,7.5
2015-05-12 00:00:00,EU,7.62
2015-05-15 00:00:00,DE,7.48
2015-05-18 00:00:00,EU,7.54
2015-05-19 00:00:00,EU,7.51
2015-05-20 00:00:00,PL,7.38
2015-05-21 00:00:00,EU,7.3
2015-05-22 00:00:00,DE,7.25
2015-05-26 00:00:00,EU,7.28
2015-05-28 00:00:00,EU,7.2
2015-05-29 00:00:00,DE,7.22
2015-06-01 00:00:00,EU,7.23
2015-06-02 00:00:00,EU,7.26
2015-06-05 00:00:00,DE,7.4
2015-06-08 00:00:00,EU,7.38
2015-06-09 00:00:00,EU,7.48
2015-06-11 00:00:00,EU,7.58
2015-06-12 00:00:00,DE,7.52
2015-06-15 00:00:00,EU,7.54
2015-06-16 00:00:00,EU,7.48
2015-06-18 00:00:00,EU,7.45
2015-06-19 00:00:00,DE,7.41
2015-06-22 00:00:00,EU,7.43
2015-06-23 00:00:00,EU,7.45
2015-06-25 00:00:00,EU,7.52
2015-06-26 00:00:00,DE,7.5
2015-06-29 00:00:00,EU,7.36
2015-06-30 00:00:00,EU,7.36
2015-07-01 00:00:00,EU,7.16
2015-07-02 00:00:00,EU,7.42
2015-07-03 00:00:00,DE,7.42
2015-07-06 00:00:00,EU,7.33
2015-07-07 00:00:00,EU,7.35
2015-07-09 00:00:00,EU,7.43
2015-07-10 00:00:00,DE,7.52
2015-07-13 00:00:00,EU,7.64
2015-07-14 00:00:00,EU,7.72
2015-07-16 00:00:00,EU,7.69
2015-07-17 00:00:00,DE,7.6
2015-07-20 00:00:00,EU,7.76
2015-07-21 00:00:00,EU,7.92
2015-07-23 00:00:00,EU,8.04
2015-07-24 00:00:00,DE,8.01
2015-07-27 00:00:00,EU,7.98
2015-07-28 00:00:00,EU,7.95
2015-07-29 00:00:00,PL,8.03
2015-07-30 00:00:00,EU,8.0
2015-07-31 00:00:00,DE,7.82
2015-08-03 00:00:00,EU,7.91
2015-08-04 00:00:00,EU,7.94
2015-08-06 00:00:00,EU,7.83
2015-08-07 00:00:00,DE,7.79
2015-08-10 00:00:00,EU,7.78
2015-08-11 00:00:00,EU,7.95
2015-08-13 00:00:00,EU,8.18
2015-08-14 00:00:00,DE,8.15
2015-08-17 00:00:00,EU,8.26
2015-08-18 00:00:00,EU,8.17
2015-08-20 00:00:00,EU,8.31
2015-08-21 00:00:00,DE,8.31
2015-08-24 00:00:00,EU,8.08
2015-08-25 00:00:00,EU,8.22
2015-08-27 00:00:00,EU,8.07
2015-08-28 00:00:00,DE,8.04
2015-09-01 00:00:00,EU,7.98
2015-09-03 00:00:00,EU,8.06
2015-09-04 00:00:00,DE,8.06
2015-09-07 00:00:00,EU,8.02
2015-09-08 00:00:00,EU,8.09
2015-09-09 00:00:00,EU,7.94
2015-09-10 00:00:00,EU,8.25
2015-09-11 00:00:00,DE,8.22
2015-09-14 00:00:00,EU,8.21
2015-09-15 00:00:00,EU,8.17
2015-09-17 00:00:00,EU,8.18
2015-09-18 00:00:00,DE,8.16
2015-09-21 00:00:00,EU,8.04
2015-09-22 00:00:00,EU,7.98
2015-09-23 00:00:00,PL,8.04
2015-09-24 00:00:00,EU,7.99
2015-09-25 00:00:00,DE,7.94
2015-09-28 00:00:00,EU,7.92
2015-09-29 00:00:00,EU,7.87
2015-10-01 00:00:00,EU,8.2
2015-10-02 00:00:00,DE,8.1
2015-10-05 00:00:00,EU,8.16
2015-10-06 00:00:00,EU,8.16
2015-10-07 00:00:00,DE,7.97
2015-10-08 00:00:00,EU,8.11
2015-10-09 00:00:00,DE,8.16
2015-10-12 00:00:00,EU,8.26
2015-10-13 00:00:00,EU,8.3
2015-10-15 00:00:00,EU,8.46
2015-10-16 00:00:00,DE,8.37
2015-10-19 00:00:00,EU,8.35
2015-10-20 00:00:00,EU,8.32
2015-10-22 00:00:00,EU,8.44
2015-10-23 00:00:00,DE,8.52
2015-10-26 00:00:00,EU,8.55
2015-10-27 00:00:00,EU,8.63
2015-10-29 00:00:00,EU,8.59
2015-10-30 00:00:00,DE,8.59
2015-11-02 00:00:00,EU,8.54
2015-11-03 00:00:00,EU,8.58
2015-11-04 00:00:00,EU,8.25
2015-11-05 00:00:00,EU,8.4
2015-11-06 00:00:00,DE,8.45
2015-11-09 00:00:00,EU,8.35
2015-11-10 00:00:00,EU,8.28
2015-11-12 00:00:00,EU,8.36
2015-11-13 00:00:00,DE,8.34
2015-11-16 00:00:00,EU,8.43
2015-11-17 00:00:00,EU,8.49
2015-11-18 00:00:00,PL,8.51
2015-11-19 00:00:00,EU,8.57
2015-11-20 00:00:00,DE,8.59
2015-11-23 00:00:00,EU,8.46
2015-11-24 00:00:00,EU,8.63
2015-11-26 00:00:00,EU,8.61
2015-11-27 00:00:00,DE,8.54
2015-11-30 00:00:00,EU,8.55
2015-12-01 00:00:00,EU,8.52
2015-12-03 00:00:00,EU,8.44
2015-12-04 00:00:00,DE,8.56
2015-12-07 00:00:00,EU,8.42
2015-12-08 00:00:00,EU,8.33
2015-12-10 00:00:00,EU,8.32
2015-12-11 00:00:00,DE,7.98
2015-12-14 00:00:00,EU,7.92
2015-12-15 00:00:00,EU,8.05
2015-12-17 00:00:00,EU,8.12
2016-01-11 09:00:00,EU (TCAP),7.45
2016-01-12 09:00:00,EU (TCAP),7.04
2016-01-14 09:00:00,EU (TCAP),7.05
